"time","MatStm1.K[1]","MatStm1.K[2]","MatStm1.MW[1]","MatStm1.MW[2]","MatStm1.MW[3]","MatStm1.P","MatStm1.Pbubl","MatStm1.Pdew","MatStm1.Psat[1]","MatStm1.Psat[2]","MatStm1.T","MatStm1.compMasFlo[1,1]","MatStm1.compMasFlo[1,2]","MatStm1.compMasFlo[2,1]","MatStm1.compMasFlo[2,2]","MatStm1.compMasFlo[3,1]","MatStm1.compMasFlo[3,2]","MatStm1.compMasFrac[1,1]","MatStm1.compMasFrac[1,2]","MatStm1.compMasFrac[2,1]","MatStm1.compMasFrac[2,2]","MatStm1.compMasFrac[3,1]","MatStm1.compMasFrac[3,2]","MatStm1.compMolEnth[1,1]","MatStm1.compMolEnth[1,2]","MatStm1.compMolEnth[2,1]","MatStm1.compMolEnth[2,2]","MatStm1.compMolEnth[3,1]","MatStm1.compMolEnth[3,2]","MatStm1.compMolEntr[1,1]","MatStm1.compMolEntr[1,2]","MatStm1.compMolEntr[2,1]","MatStm1.compMolEntr[2,2]","MatStm1.compMolEntr[3,1]","MatStm1.compMolEntr[3,2]","MatStm1.compMolFlo[1,1]","MatStm1.compMolFlo[1,2]","MatStm1.compMolFlo[2,1]","MatStm1.compMolFlo[2,2]","MatStm1.compMolFlo[3,1]","MatStm1.compMolFlo[3,2]","MatStm1.compMolFrac[1,1]","MatStm1.compMolFrac[1,2]","MatStm1.compMolFrac[2,1]","MatStm1.compMolFrac[2,2]","MatStm1.compMolFrac[3,1]","MatStm1.compMolFrac[3,2]","MatStm1.compMolSpHeat[1,1]","MatStm1.compMolSpHeat[1,2]","MatStm1.compMolSpHeat[2,1]","MatStm1.compMolSpHeat[2,2]","MatStm1.compMolSpHeat[3,1]","MatStm1.compMolSpHeat[3,2]","MatStm1.gamma[1]","MatStm1.gamma[2]","MatStm1.gammaBubl[1]","MatStm1.gammaBubl[2]","MatStm1.gammaDew[1]","MatStm1.gammaDew[2]","MatStm1.liqPhasMasFrac","MatStm1.liqPhasMolFrac","MatStm1.liqfugcoeff_bubl[1]","MatStm1.liqfugcoeff_bubl[2]","MatStm1.phasMolEnth[1]","MatStm1.phasMolEnth[2]","MatStm1.phasMolEnth[3]","MatStm1.phasMolEntr[1]","MatStm1.phasMolEntr[2]","MatStm1.phasMolEntr[3]","MatStm1.phasMolSpHeat[1]","MatStm1.phasMolSpHeat[2]","MatStm1.phasMolSpHeat[3]","MatStm1.resMolEnth[1]","MatStm1.resMolEnth[2]","MatStm1.resMolEnth[3]","MatStm1.resMolEntr[1]","MatStm1.resMolEntr[2]","MatStm1.resMolEntr[3]","MatStm1.resMolSpHeat[1]","MatStm1.resMolSpHeat[2]","MatStm1.resMolSpHeat[3]","MatStm1.totMasFlo[1]","MatStm1.totMasFlo[2]","MatStm1.totMasFlo[3]","MatStm1.totMolFlo[1]","MatStm1.totMolFlo[2]","MatStm1.totMolFlo[3]","MatStm1.vapPhasMasFrac","MatStm1.vapfugcoeff_dew[1]","MatStm1.vapfugcoeff_dew[2]","MatStm2.K[1]","MatStm2.K[2]","MatStm2.MW[1]","MatStm2.MW[2]","MatStm2.MW[3]","MatStm2.P","MatStm2.Pbubl","MatStm2.Pdew","MatStm2.Psat[1]","MatStm2.Psat[2]","MatStm2.T","MatStm2.compMasFlo[1,1]","MatStm2.compMasFlo[1,2]","MatStm2.compMasFlo[2,1]","MatStm2.compMasFlo[2,2]","MatStm2.compMasFlo[3,1]","MatStm2.compMasFlo[3,2]","MatStm2.compMasFrac[1,1]","MatStm2.compMasFrac[1,2]","MatStm2.compMasFrac[2,1]","MatStm2.compMasFrac[2,2]","MatStm2.compMasFrac[3,1]","MatStm2.compMasFrac[3,2]","MatStm2.compMolEnth[1,1]","MatStm2.compMolEnth[1,2]","MatStm2.compMolEnth[2,1]","MatStm2.compMolEnth[2,2]","MatStm2.compMolEnth[3,1]","MatStm2.compMolEnth[3,2]","MatStm2.compMolEntr[1,1]","MatStm2.compMolEntr[1,2]","MatStm2.compMolEntr[2,1]","MatStm2.compMolEntr[2,2]","MatStm2.compMolEntr[3,1]","MatStm2.compMolEntr[3,2]","MatStm2.compMolFlo[1,1]","MatStm2.compMolFlo[1,2]","MatStm2.compMolFlo[2,1]","MatStm2.compMolFlo[2,2]","MatStm2.compMolFlo[3,1]","MatStm2.compMolFlo[3,2]","MatStm2.compMolFrac[1,1]","MatStm2.compMolFrac[1,2]","MatStm2.compMolFrac[2,1]","MatStm2.compMolFrac[2,2]","MatStm2.compMolFrac[3,1]","MatStm2.compMolFrac[3,2]","MatStm2.compMolSpHeat[1,1]","MatStm2.compMolSpHeat[1,2]","MatStm2.compMolSpHeat[2,1]","MatStm2.compMolSpHeat[2,2]","MatStm2.compMolSpHeat[3,1]","MatStm2.compMolSpHeat[3,2]","MatStm2.gamma[1]","MatStm2.gamma[2]","MatStm2.gammaBubl[1]","MatStm2.gammaBubl[2]","MatStm2.gammaDew[1]","MatStm2.gammaDew[2]","MatStm2.liqPhasMasFrac","MatStm2.liqPhasMolFrac","MatStm2.liqfugcoeff_bubl[1]","MatStm2.liqfugcoeff_bubl[2]","MatStm2.phasMolEnth[1]","MatStm2.phasMolEnth[2]","MatStm2.phasMolEnth[3]","MatStm2.phasMolEntr[1]","MatStm2.phasMolEntr[2]","MatStm2.phasMolEntr[3]","MatStm2.phasMolSpHeat[1]","MatStm2.phasMolSpHeat[2]","MatStm2.phasMolSpHeat[3]","MatStm2.resMolEnth[1]","MatStm2.resMolEnth[2]","MatStm2.resMolEnth[3]","MatStm2.resMolEntr[1]","MatStm2.resMolEntr[2]","MatStm2.resMolEntr[3]","MatStm2.resMolSpHeat[1]","MatStm2.resMolSpHeat[2]","MatStm2.resMolSpHeat[3]","MatStm2.totMasFlo[1]","MatStm2.totMasFlo[2]","MatStm2.totMasFlo[3]","MatStm2.totMolFlo[1]","MatStm2.totMolFlo[2]","MatStm2.totMolFlo[3]","MatStm2.vapPhasMasFrac","MatStm2.vapfugcoeff_dew[1]","MatStm2.vapfugcoeff_dew[2]","MatStm3.K[1]","MatStm3.K[2]","MatStm3.MW[1]","MatStm3.MW[2]","MatStm3.MW[3]","MatStm3.P","MatStm3.Pbubl","MatStm3.Pdew","MatStm3.Psat[1]","MatStm3.Psat[2]","MatStm3.T","MatStm3.compMasFlo[1,1]","MatStm3.compMasFlo[1,2]","MatStm3.compMasFlo[2,1]","MatStm3.compMasFlo[2,2]","MatStm3.compMasFlo[3,1]","MatStm3.compMasFlo[3,2]","MatStm3.compMasFrac[1,1]","MatStm3.compMasFrac[1,2]","MatStm3.compMasFrac[2,1]","MatStm3.compMasFrac[2,2]","MatStm3.compMasFrac[3,1]","MatStm3.compMasFrac[3,2]","MatStm3.compMolEnth[1,1]","MatStm3.compMolEnth[1,2]","MatStm3.compMolEnth[2,1]","MatStm3.compMolEnth[2,2]","MatStm3.compMolEnth[3,1]","MatStm3.compMolEnth[3,2]","MatStm3.compMolEntr[1,1]","MatStm3.compMolEntr[1,2]","MatStm3.compMolEntr[2,1]","MatStm3.compMolEntr[2,2]","MatStm3.compMolEntr[3,1]","MatStm3.compMolEntr[3,2]","MatStm3.compMolFlo[1,1]","MatStm3.compMolFlo[1,2]","MatStm3.compMolFlo[2,1]","MatStm3.compMolFlo[2,2]","MatStm3.compMolFlo[3,1]","MatStm3.compMolFlo[3,2]","MatStm3.compMolFrac[1,1]","MatStm3.compMolFrac[1,2]","MatStm3.compMolFrac[2,1]","MatStm3.compMolFrac[2,2]","MatStm3.compMolFrac[3,1]","MatStm3.compMolFrac[3,2]","MatStm3.compMolSpHeat[1,1]","MatStm3.compMolSpHeat[1,2]","MatStm3.compMolSpHeat[2,1]","MatStm3.compMolSpHeat[2,2]","MatStm3.compMolSpHeat[3,1]","MatStm3.compMolSpHeat[3,2]","MatStm3.gamma[1]","MatStm3.gamma[2]","MatStm3.gammaBubl[1]","MatStm3.gammaBubl[2]","MatStm3.gammaDew[1]","MatStm3.gammaDew[2]","MatStm3.liqPhasMasFrac","MatStm3.liqPhasMolFrac","MatStm3.liqfugcoeff_bubl[1]","MatStm3.liqfugcoeff_bubl[2]","MatStm3.phasMolEnth[1]","MatStm3.phasMolEnth[2]","MatStm3.phasMolEnth[3]","MatStm3.phasMolEntr[1]","MatStm3.phasMolEntr[2]","MatStm3.phasMolEntr[3]","MatStm3.phasMolSpHeat[1]","MatStm3.phasMolSpHeat[2]","MatStm3.phasMolSpHeat[3]","MatStm3.resMolEnth[1]","MatStm3.resMolEnth[2]","MatStm3.resMolEnth[3]","MatStm3.resMolEntr[1]","MatStm3.resMolEntr[2]","MatStm3.resMolEntr[3]","MatStm3.resMolSpHeat[1]","MatStm3.resMolSpHeat[2]","MatStm3.resMolSpHeat[3]","MatStm3.totMasFlo[1]","MatStm3.totMasFlo[2]","MatStm3.totMasFlo[3]","MatStm3.totMolFlo[1]","MatStm3.totMolFlo[2]","MatStm3.totMolFlo[3]","MatStm3.vapPhasMasFrac","MatStm3.vapPhasMolFrac","MatStm3.vapfugcoeff_dew[1]","MatStm3.vapfugcoeff_dew[2]","Mixer1.inVapPhasMolFrac[1]","Mixer1.inVapPhasMolFrac[2]","MatStm1.inlet.P","MatStm1.inlet.T","MatStm1.inlet.mixMolEnth","MatStm1.inlet.mixMolEntr","MatStm1.inlet.mixMolFlo","MatStm1.inlet.mixMolFrac[1,1]","MatStm1.inlet.mixMolFrac[1,2]","MatStm1.inlet.mixMolFrac[2,1]","MatStm1.inlet.mixMolFrac[2,2]","MatStm1.inlet.mixMolFrac[3,1]","MatStm1.inlet.mixMolFrac[3,2]","MatStm1.inlet.vapPhasMolFrac","MatStm1.outlet.P","MatStm1.outlet.T","MatStm1.outlet.mixMolEnth","MatStm1.outlet.mixMolEntr","MatStm1.outlet.mixMolFlo","MatStm1.outlet.mixMolFrac[1,1]","MatStm1.outlet.mixMolFrac[1,2]","MatStm1.outlet.mixMolFrac[2,1]","MatStm1.outlet.mixMolFrac[2,2]","MatStm1.outlet.mixMolFrac[3,1]","MatStm1.outlet.mixMolFrac[3,2]","MatStm1.outlet.vapPhasMolFrac","MatStm1.vapPhasMolFrac","MatStm2.inlet.P","MatStm2.inlet.T","MatStm2.inlet.mixMolEnth","MatStm2.inlet.mixMolEntr","MatStm2.inlet.mixMolFlo","MatStm2.inlet.mixMolFrac[1,1]","MatStm2.inlet.mixMolFrac[1,2]","MatStm2.inlet.mixMolFrac[2,1]","MatStm2.inlet.mixMolFrac[2,2]","MatStm2.inlet.mixMolFrac[3,1]","MatStm2.inlet.mixMolFrac[3,2]","MatStm2.inlet.vapPhasMolFrac","MatStm2.outlet.P","MatStm2.outlet.T","MatStm2.outlet.mixMolEnth","MatStm2.outlet.mixMolEntr","MatStm2.outlet.mixMolFlo","MatStm2.outlet.mixMolFrac[1,1]","MatStm2.outlet.mixMolFrac[1,2]","MatStm2.outlet.mixMolFrac[2,1]","MatStm2.outlet.mixMolFrac[2,2]","MatStm2.outlet.mixMolFrac[3,1]","MatStm2.outlet.mixMolFrac[3,2]","MatStm2.outlet.vapPhasMolFrac","MatStm2.vapPhasMolFrac","MatStm3.inlet.P","MatStm3.inlet.T","MatStm3.inlet.mixMolEnth","MatStm3.inlet.mixMolEntr","MatStm3.inlet.mixMolFlo","MatStm3.inlet.mixMolFrac[1,1]","MatStm3.inlet.mixMolFrac[1,2]","MatStm3.inlet.mixMolFrac[2,1]","MatStm3.inlet.mixMolFrac[2,2]","MatStm3.inlet.mixMolFrac[3,1]","MatStm3.inlet.mixMolFrac[3,2]","MatStm3.inlet.vapPhasMolFrac","MatStm3.outlet.P","MatStm3.outlet.T","MatStm3.outlet.mixMolEnth","MatStm3.outlet.mixMolEntr","MatStm3.outlet.mixMolFlo","MatStm3.outlet.mixMolFrac[1,1]","MatStm3.outlet.mixMolFrac[1,2]","MatStm3.outlet.mixMolFrac[2,1]","MatStm3.outlet.mixMolFrac[2,2]","MatStm3.outlet.mixMolFrac[3,1]","MatStm3.outlet.mixMolFrac[3,2]","MatStm3.outlet.vapPhasMolFrac","Mixer1.inCompMolFrac[1,1]","Mixer1.inCompMolFrac[1,2]","Mixer1.inCompMolFrac[2,1]","Mixer1.inCompMolFrac[2,2]","Mixer1.inMolFlo[1]","Mixer1.inMolFlo[2]","Mixer1.inP[1]","Mixer1.inP[2]","Mixer1.inT[1]","Mixer1.inT[2]","Mixer1.inTotMolEnth[1]","Mixer1.inTotMolEnth[2]","Mixer1.inTotMolEntr[1]","Mixer1.inTotMolEntr[2]","Mixer1.inlet[1].P","Mixer1.inlet[2].P","Mixer1.inlet[1].T","Mixer1.inlet[2].T","Mixer1.inlet[1].mixMolEnth","Mixer1.inlet[2].mixMolEnth","Mixer1.inlet[1].mixMolEntr","Mixer1.inlet[2].mixMolEntr","Mixer1.inlet[1].mixMolFlo","Mixer1.inlet[2].mixMolFlo","Mixer1.inlet[1].mixMolFrac[1,1]","Mixer1.inlet[1].mixMolFrac[1,2]","Mixer1.inlet[1].mixMolFrac[2,1]","Mixer1.inlet[1].mixMolFrac[2,2]","Mixer1.inlet[1].mixMolFrac[3,1]","Mixer1.inlet[1].mixMolFrac[3,2]","Mixer1.inlet[2].mixMolFrac[1,1]","Mixer1.inlet[2].mixMolFrac[1,2]","Mixer1.inlet[2].mixMolFrac[2,1]","Mixer1.inlet[2].mixMolFrac[2,2]","Mixer1.inlet[2].mixMolFrac[3,1]","Mixer1.inlet[2].mixMolFrac[3,2]","Mixer1.inlet[1].vapPhasMolFrac","Mixer1.inlet[2].vapPhasMolFrac","Mixer1.outCompMolFrac[1]","Mixer1.outCompMolFrac[2]","Mixer1.outMolFlo","Mixer1.outP","Mixer1.outT","Mixer1.outTotMolEnth","Mixer1.outTotMolEntr","Mixer1.outVapPhasMolFrac","Mixer1.outlet.P","Mixer1.outlet.T","Mixer1.outlet.mixMolEnth","Mixer1.outlet.mixMolEntr","Mixer1.outlet.mixMolFlo","Mixer1.outlet.mixMolFrac[1,1]","Mixer1.outlet.mixMolFrac[1,2]","Mixer1.outlet.mixMolFrac[2,1]","Mixer1.outlet.mixMolFrac[2,2]","Mixer1.outlet.mixMolFrac[3,1]","Mixer1.outlet.mixMolFrac[3,2]","Mixer1.outlet.vapPhasMolFrac"
0,0.06158903356566346,0.1497110047093665,29.2366,29.2366,0,101325,9812.092316495135,8162.281640504726,6240.50882604085,15169.46755217656,310,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25352.15639249302,-16901.43759499535,-43090.21250085042,-40998.66621744529,398.8018279981996,784.5701295650381,-78.40277158963019,-52.2685143930868,-134.7282176309089,-124.5858885104292,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,55.26894057962597,36.84596038641731,75.5482659514592,116.9648534879194,33.68458332610432,67.12873193450601,1,1,1,1,1,1,1,1,1,1,-42253.59398748836,-42253.59398748836,0,-130.671285982717,-130.671285982717,0,92.11490096604328,92.11490096604328,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.1042355205037608,0.248818258985577,29.2366,29.2366,0,101325,16421.60250571157,13759.89018025461,10561.66411504356,25211.51009171359,320,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-24762.78134758458,-16508.52089838973,-42337.64961255837,-39671.78119609821,735.9144097405178,1463.649193298381,-73.95770403504814,-49.30513602336543,-127.9756617533178,-116.1936075160573,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,56.36255762298558,37.57503841532372,75.56039221348554,121.5034017755449,33.73838646413165,68.6879274399803,1,1,1,1,1,1,1,1,1,1,-41271.30224597431,-41271.30224597431,0,-123.2628400584136,-123.2628400584136,0,93.93759603830929,93.93759603830929,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.08062995011654255,0.1942125115964402,29.2366,29.2366,0,101325,12773.33091233892,10664.66336479464,8169.829695558673,19678.5827375093,315.0287067347126,2161.8,3685.52,2161.8,3685.52,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25057.4688700388,-16704.97924669254,-42712.41674273086,-40337.49517773207,568.258602237219,1124.110049232991,-76.14115697025208,-50.76077131350139,-131.2852697175719,-120.3269161330258,0,0,120,80,120,80,0,0,0.6,0.4,0.6,0.4,0,0,55.80641794637183,37.20427863091455,75.55330139434744,119.1967893516948,33.71129898091649,67.91217053736669,1,1,1,1,1,1,0.9999999999999997,1,1,1,-41762.44811673134,-41762.44811673134,0,-126.9019282837535,-126.9019282837535,0,93.01069657728638,93.01069657728638,0,0,0,0,0,0,0,0,0,0,5847.320000000001,5847.319999999999,0,200,200,0,0,0,1,1,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,0.6,0.4,0.6,0.4,100,100,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,100,100,0.6,0.4,0.6,0.4,0,0,0.6,0.4,0.6,0.4,0,0,0,0,0.6,0.4,200,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0
1,0.06158903356566346,0.1497110047093665,29.2366,29.2366,0,101325,9812.092316495135,8162.281640504726,6240.50882604085,15169.46755217656,310,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25352.15639249302,-16901.43759499535,-43090.21250085042,-40998.66621744529,398.8018279981996,784.5701295650381,-78.40277158963019,-52.2685143930868,-134.7282176309089,-124.5858885104292,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,55.26894057962597,36.84596038641731,75.5482659514592,116.9648534879194,33.68458332610432,67.12873193450601,1,1,1,1,1,1,1,1,1,1,-42253.59398748836,-42253.59398748836,0,-130.671285982717,-130.671285982717,0,92.11490096604328,92.11490096604328,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.1042355205037608,0.248818258985577,29.2366,29.2366,0,101325,16421.60250571157,13759.89018025461,10561.66411504356,25211.51009171359,320,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-24762.78134758458,-16508.52089838973,-42337.64961255837,-39671.78119609821,735.9144097405178,1463.649193298381,-73.95770403504814,-49.30513602336543,-127.9756617533178,-116.1936075160573,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,56.36255762298558,37.57503841532372,75.56039221348554,121.5034017755449,33.73838646413165,68.6879274399803,1,1,1,1,1,1,1,1,1,1,-41271.30224597431,-41271.30224597431,0,-123.2628400584136,-123.2628400584136,0,93.93759603830929,93.93759603830929,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.08062995011654255,0.1942125115964402,29.2366,29.2366,0,101325,12773.33091233892,10664.66336479464,8169.829695558673,19678.5827375093,315.0287067347126,2161.8,3685.52,2161.8,3685.52,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25057.4688700388,-16704.97924669254,-42712.41674273086,-40337.49517773207,568.258602237219,1124.110049232991,-76.14115697025208,-50.76077131350139,-131.2852697175719,-120.3269161330258,0,0,120,80,120,80,0,0,0.6,0.4,0.6,0.4,0,0,55.80641794637183,37.20427863091455,75.55330139434744,119.1967893516948,33.71129898091649,67.91217053736669,1,1,1,1,1,1,0.9999999999999997,1,1,1,-41762.44811673134,-41762.44811673134,0,-126.9019282837535,-126.9019282837535,0,93.01069657728638,93.01069657728638,0,0,0,0,0,0,0,0,0,0,5847.320000000001,5847.319999999999,0,200,200,0,0,0,1,1,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,0.6,0.4,0.6,0.4,100,100,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,100,100,0.6,0.4,0.6,0.4,0,0,0.6,0.4,0.6,0.4,0,0,0,0,0.6,0.4,200,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0
1,0.06158903356566346,0.1497110047093665,29.2366,29.2366,0,101325,9812.092316495135,8162.281640504726,6240.50882604085,15169.46755217656,310,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25352.15639249302,-16901.43759499535,-43090.21250085042,-40998.66621744529,398.8018279981996,784.5701295650381,-78.40277158963019,-52.2685143930868,-134.7282176309089,-124.5858885104292,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,55.26894057962597,36.84596038641731,75.5482659514592,116.9648534879194,33.68458332610432,67.12873193450601,1,1,1,1,1,1,1,1,1,1,-42253.59398748836,-42253.59398748836,0,-130.671285982717,-130.671285982717,0,92.11490096604328,92.11490096604328,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.1042355205037608,0.248818258985577,29.2366,29.2366,0,101325,16421.60250571157,13759.89018025461,10561.66411504356,25211.51009171359,320,1080.9,1842.76,1080.9,1842.76,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-24762.78134758458,-16508.52089838973,-42337.64961255837,-39671.78119609821,735.9144097405178,1463.649193298381,-73.95770403504814,-49.30513602336543,-127.9756617533178,-116.1936075160573,0,0,60,40,60,40,0,0,0.6,0.4,0.6,0.4,0,0,56.36255762298558,37.57503841532372,75.56039221348554,121.5034017755449,33.73838646413165,68.6879274399803,1,1,1,1,1,1,1,1,1,1,-41271.30224597431,-41271.30224597431,0,-123.2628400584136,-123.2628400584136,0,93.93759603830929,93.93759603830929,0,0,0,0,0,0,0,0,0,0,2923.66,2923.66,0,100,100,0,0,1,1,0.08062995011654255,0.1942125115964402,29.2366,29.2366,0,101325,12773.33091233892,10664.66336479464,8169.829695558673,19678.5827375093,315.0287067347126,2161.8,3685.52,2161.8,3685.52,0,0,0.3697078319640451,0.6302921680359549,0.3697078319640451,0.6302921680359549,-0,-0,-25057.4688700388,-16704.97924669254,-42712.41674273086,-40337.49517773207,568.258602237219,1124.110049232991,-76.14115697025208,-50.76077131350139,-131.2852697175719,-120.3269161330258,0,0,120,80,120,80,0,0,0.6,0.4,0.6,0.4,0,0,55.80641794637183,37.20427863091455,75.55330139434744,119.1967893516948,33.71129898091649,67.91217053736669,1,1,1,1,1,1,0.9999999999999997,1,1,1,-41762.44811673134,-41762.44811673134,0,-126.9019282837535,-126.9019282837535,0,93.01069657728638,93.01069657728638,0,0,0,0,0,0,0,0,0,0,5847.320000000001,5847.319999999999,0,200,200,0,0,0,1,1,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,101325,310,-42253.59398748836,-130.671285982717,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,101325,320,-41271.30224597431,-123.2628400584136,100,0.6,0.4,0.6,0.4,0,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0,0.6,0.4,0.6,0.4,100,100,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,101325,101325,320,310,-41271.30224597431,-42253.59398748836,-123.2628400584136,-130.671285982717,100,100,0.6,0.4,0.6,0.4,0,0,0.6,0.4,0.6,0.4,0,0,0,0,0.6,0.4,200,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,0,101325,315.0287067347126,-41762.44811673134,-126.9019282837535,200,0.6,0.4,0.6,0.4,0,0,0
