assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55719)^(426.911)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.35281)^(392.9)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.34748)^(392.037)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.7297)^(457.103)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.59437)^(433.302)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.87)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.1193)^(3470.22)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.56031)^(427.444)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55719)^(426.911)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.35281)^(392.899)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.34747)^(392.037)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.72969)^(457.102)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.59437)^(433.301)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.1353)^(3481.33)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55695)^(426.869)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.56031)^(427.444)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.55719)^(426.911)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.35281)^(392.899)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.34747)^(392.037)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.72969)^(457.102)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.59437)^(433.301)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (15.125)^(3474.19)
